nlc,Station,longitude,latitude,EntriesHr,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million
719,Stratford,51.5412,-0.003776,1543.1,91067,100280,67894,82048,92440,61311,61.44263
720,Sudbury Hill,51.557,-0.335949,43.5,3489,2337,1486,3653,2236,1450,2.217946
721,Sudbury Town,51.5509,-0.31598,45.1,3635,2363,1584,3383,2024,1391,2.179203
723,Swiss Cottage,51.5433,-0.17436,162.2,12680,8608,5967,11717,7875,5580,7.71083
724,Temple,51.5111,-0.11341,144.7,14693,6004,3611,15007,6564,3646,8.595799
725,Theydon Bois,51.6725,0.10354,17.3,1435,947,520,1331,861,512,0.854702
726,Tooting Bec,51.4358,-0.159635693,173.9,12971,9811,6438,11659,8411,6352,7.933544
727,Tooting Broadway,51.4278,-0.167910811,339.6,24714,19312,13026,23886,17622,12764,15.737978
728,Tottenham Court Road,51.5164,-0.13027,379.5,26553,23003,14204,23245,17945,11586,16.2498
729,Tottenham Hale,51.5889,-0.059808,260,19396,12807,11478,17984,11122,9757,11.954313
730,Totteridge & Whetstone,51.6302,-0.17917,47.1,3990,2403,1520,3634,2075,1408,2.33448
731,Tower Hill,51.5099,-0.076813,494.7,32210,28833,22060,33821,28906,19778,22.176713
733,Tufnell Park,51.5566,-0.13813,0,0,0,0,0,0,0,0
734,Turnham Green,51.4951,-0.25406,132.1,10146,7216,4838,10106,7099,4955,6.445923
735,Turnpike Lane,51.5903,-0.10308,239.9,15937,14127,10236,16396,12961,10128,10.790301
736,Upminster,51.5593,0.25177,94.8,8280,5296,2348,8887,4640,2410,5.140645
737,Upminster Bridge,51.5585,0.23509,18.1,2109,693,245,2047,577,251,1.146772
738,Upney,51.5382,0.09998,52.8,4766,2640,1472,4197,2218,1316,2.684747
739,Upton Park,51.5351,0.03373,249.4,17808,14352,9745,16895,15139,8903,11.413623
740,Uxbridge,51.5469,-0.47725,162.3,13705,8365,5200,13490,7708,5400,8.341531
777,Vauxhall,51.486,-0.12369,568.2,43911,29420,22127,40403,26740,21656,26.834959
741,Victoria,51.4966,-0.14400853,1776.8,123265,97694,77548,128474,95438,77583,82.88556
742,Walthamstow Central,51.5829,-0.01996,389.1,28757,21766,14843,27799,21069,15623,18.333582
743,Wanstead,51.5757,0.02864,60.7,4635,3375,2189,4520,3056,2098,2.90356
745,Warren Street,51.5245,-0.1381,350.1,35076,14034,9702,33848,12980,8516,19.917362
746,Warwick Avenue,51.5233,-0.183777837,97.3,7327,5268,3751,6647,4748,3801,4.501822
747,Waterloo,51.5032,-0.11328,1854.4,147259,103277,61006,158084,100706,62375,95.138374
748,Watford,51.6574,-0.41745306,34.7,3166,1584,1073,2982,1571,1068,1.845823
751,Wembley Central,51.5512,-0.29577538,119.6,8683,7027,4390,9230,7237,4358,5.789849
752,Wembley Park,51.5636,-0.279770242,328.3,21679,19165,14310,21632,17812,13861,14.542576
753,West Acton,51.5182,-0.28064,37.4,2769,2086,1427,2632,1885,1351,1.736847
755,West Brompton,51.4868,-0.19475,94.1,8318,4631,2862,8845,4787,2841,5.168452
756,West Finchley,51.6092,-0.188711152,31.9,2742,1620,994,2563,1369,978,1.613941
757,West Ham,51.5279,0.004141,87.9,5947,5261,3561,5426,4883,3383,3.814553
758,West Hampstead,51.5468,-0.191016868,236.7,18346,12544,8869,16896,11064,8356,11.160117
759,West Harrow,51.5795,-0.353144584,25.4,2189,1283,795,2133,1404,840,1.329655
760,West Kensington,51.4909,-0.20532,116.9,8456,6631,4560,8047,5555,4128,5.321523
762,West Ruislip,51.5693,-0.43674,33.7,2523,2040,1101,2394,1749,994,1.564634
754,Westbourne Park,51.521,-0.201778,82.9,6864,4419,2643,5407,3372,2192,3.79496
761,Westminster,51.5012,-0.12489,593.5,37844,34976,26895,37388,33175,24578,25.614455
764,White City,51.5122,-0.224226,141.7,12436,6965,4398,13176,6684,4328,7.704418
763,Whitechapel,51.5195,-0.05951,225.8,19379,11758,6803,19021,11181,6660,11.702345
765,Willesden Green,51.5492,-0.22106,199.3,14170,11212,8107,13241,9696,7801,8.960771
766,Willesden Junction,51.5318,-0.24235,92.4,7419,5191,2908,7346,4709,2981,4.597796
767,Wimbledon,51.422,-0.20544,316.7,25442,17142,10629,24227,17454,10831,15.631389
768,Wimbledon Park,51.4339,-0.19864,41.5,3293,2293,1378,2532,1572,1102,1.821025
770,Wood Green,51.5971,-0.10939,302.5,20281,18092,12443,18982,16840,11950,13.18919
769,Woodford,51.6058,0.03328,124.4,9637,6998,4270,9481,6445,4174,6.034086
771,Woodside Park,51.6182,-0.185578888,55.4,4795,2799,1717,4327,2877,1906,2.816775
